customer_id,abm_amount_cad,abm_cash_amount_cad,abm_cash_count,abm_count,card_amount_cad,card_count,cheque_amount_cad,cheque_count,eft_amount_cad,eft_count,emt_amount_cad,emt_count,wire_amount_cad,wire_count
SYNCID0000000000,0.0,0.0,0.0,0.0,0.0,0.0,415.24,1.0,0.0,0.0,0.0,0.0,6316.07,2.0
SYNCID0000000001,0.0,0.0,0.0,0.0,291.39,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000002,0.0,0.0,0.0,0.0,0.0,0.0,202826.56000000003,27.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000004,0.0,0.0,0.0,0.0,17086.96,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165250.47000000003,50.0,0.0,0.0,0.0,0.0
SYNCID0000000006,0.0,0.0,0.0,0.0,0.0,0.0,147586.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000007,0.0,0.0,0.0,0.0,2179.8,16.0,122366.83000000002,26.0,10913.020000000002,6.0,513.46,1.0,0.0,0.0
SYNCID0000000008,0.0,0.0,0.0,0.0,0.0,0.0,18935.530000000002,9.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000009,0.0,0.0,0.0,0.0,5259.64,32.0,57663.36,29.0,38073.24999999999,13.0,0.0,0.0,0.0,0.0
SYNCID0000000010,0.0,0.0,0.0,0.0,0.0,0.0,11473.369999999999,13.0,10618.27,19.0,0.0,0.0,0.0,0.0
SYNCID0000000011,0.0,0.0,0.0,0.0,541.35,9.0,394688.30000000005,121.0,96.4,1.0,0.0,0.0,0.0,0.0
SYNCID0000000012,0.0,0.0,0.0,0.0,14646.850000000002,40.0,0.0,0.0,59014.49000000001,7.0,0.0,0.0,0.0,0.0
SYNCID0000000013,0.0,0.0,0.0,0.0,56578.56,267.0,2444955.2300000004,30.0,33344.659999999996,17.0,0.0,0.0,0.0,0.0
SYNCID0000000014,25.41,0.0,0.0,1.0,86549.26999999997,55.0,0.0,0.0,33369.969999999994,25.0,0.0,0.0,0.0,0.0
SYNCID0000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321885.0,15.0,0.0,0.0,0.0,0.0
SYNCID0000000016,0.0,0.0,0.0,0.0,0.0,0.0,62.790000000000006,2.0,27698.35,6.0,0.0,0.0,0.0,0.0
SYNCID0000000017,0.0,0.0,0.0,0.0,0.0,0.0,17520.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000018,0.0,0.0,0.0,0.0,219342.86000000002,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000019,0.0,0.0,0.0,0.0,15014.74,35.0,821143.6599999999,89.0,320.95,3.0,7071.129999999999,4.0,0.0,0.0
SYNCID0000000021,0.0,0.0,0.0,0.0,0.0,0.0,5683.5199999999995,6.0,93871.57,12.0,0.0,0.0,0.0,0.0
SYNCID0000000022,0.0,0.0,0.0,0.0,27072.73,33.0,32485.36,12.0,14467.039999999999,13.0,18484.379999999997,51.0,0.0,0.0
SYNCID0000000023,0.0,0.0,0.0,0.0,8128.4,43.0,0.0,0.0,25963.89,3.0,7342.66,4.0,0.0,0.0
SYNCID0000000024,0.0,0.0,0.0,0.0,0.0,0.0,4010.24,8.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000025,0.0,0.0,0.0,0.0,3920.9600000000005,31.0,0.0,0.0,47663.22,37.0,0.0,0.0,0.0,0.0
