customer_id,abm_credit_amount,abm_credit_count,abm_debit_amount,abm_debit_count,card_credit_amount,card_credit_count,card_debit_amount,card_debit_count,cheque_credit_amount,cheque_credit_count,cheque_debit_amount,cheque_debit_count,eft_credit_amount,eft_credit_count,eft_debit_amount,eft_debit_count,emt_credit_amount,emt_credit_count,emt_debit_amount,emt_debit_count,wire_credit_amount,wire_credit_count,wire_debit_amount,wire_debit_count
SYNCID0000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1.0,6316.04,1.0
SYNCID0000000001,0.0,0.0,0.0,0.0,0.0,0.0,291.39,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97022.62000000001,13.0,105803.94000000002,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000004,0.0,0.0,0.0,0.0,9552.84,3.0,7534.120000000002,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39796.88,35.0,125453.59,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141466.98,1.0,6119.219999999999,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000007,0.0,0.0,0.0,0.0,168.66,1.0,2011.1400000000003,15.0,35895.35,12.0,86471.48000000001,14.0,0.0,0.0,10913.020000000002,6.0,513.46,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17353.489999999998,8.0,1582.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000009,0.0,0.0,0.0,0.0,17.55,1.0,5242.089999999999,31.0,25364.559999999998,16.0,32298.800000000003,13.0,37006.18,10.0,1067.0700000000002,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135.79,2.0,10337.579999999998,11.0,4301.5599999999995,8.0,6316.71,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000011,0.0,0.0,0.0,0.0,0.0,0.0,541.35,9.0,35371.37,16.0,359316.93000000005,105.0,96.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000012,0.0,0.0,0.0,0.0,9077.1,2.0,5569.749999999999,38.0,0.0,0.0,0.0,0.0,58021.880000000005,4.0,992.61,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000013,0.0,0.0,0.0,0.0,4303.589999999999,15.0,52274.97,252.0,1824824.39,10.0,620130.8400000001,20.0,24954.93,10.0,8389.73,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000014,25.41,1.0,0.0,0.0,1446.86,3.0,85102.40999999999,52.0,0.0,0.0,0.0,0.0,22355.469999999998,17.0,11014.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313959.44,5.0,7925.5599999999995,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.6,1.0,17.19,1.0,1114.7,4.0,26583.65,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17520.07,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000018,0.0,0.0,0.0,0.0,193476.52000000002,3.0,25866.340000000004,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000019,0.0,0.0,0.0,0.0,0.0,0.0,15014.74,35.0,698667.36,27.0,122476.3,62.0,312.68,1.0,8.27,2.0,209.17,1.0,6861.959999999999,3.0,0.0,0.0,0.0,0.0
SYNCID0000000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.63,3.0,5548.889999999999,3.0,76653.1,10.0,17218.47,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000022,0.0,0.0,0.0,0.0,23565.02,1.0,3507.71,32.0,3256.1,4.0,29229.26,8.0,8004.24,8.0,6462.800000000001,5.0,15032.69,40.0,3451.69,11.0,0.0,0.0,0.0,0.0
SYNCID0000000023,0.0,0.0,0.0,0.0,455.78,1.0,7672.619999999999,42.0,0.0,0.0,0.0,0.0,54.37,1.0,25909.52,2.0,0.0,0.0,7342.66,4.0,0.0,0.0,0.0,0.0
SYNCID0000000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1317.46,2.0,2692.78,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000025,0.0,0.0,0.0,0.0,22.84,1.0,3898.1200000000003,30.0,0.0,0.0,0.0,0.0,36830.56,16.0,10832.66,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000026,0.0,0.0,0.0,0.0,2497.29,2.0,34858.979999999996,160.0,0.0,0.0,6569.72,1.0,0.0,0.0,0.0,0.0,452.55,2.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000027,0.0,0.0,0.0,0.0,0.0,0.0,312.11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000029,0.0,0.0,0.0,0.0,4300.27,1.0,3493.63,25.0,139.7,1.0,991.85,1.0,2437.44,4.0,2588.7400000000002,4.0,231.93,4.0,2388.59,2.0,0.0,0.0,0.0,0.0
SYNCID0000000031,0.0,0.0,0.0,0.0,0.0,0.0,149.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000032,0.0,0.0,0.0,0.0,26072.730000000003,4.0,38293.2,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000033,0.0,0.0,0.0,0.0,1266.77,3.0,49380.869999999995,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8001.61,11.0,3720.1399999999994,4.0,0.0,0.0,0.0,0.0
SYNCID0000000034,9152.880000000001,3.0,561.87,2.0,0.0,0.0,4919.089999999999,27.0,0.0,0.0,4358.33,2.0,670.21,1.0,43.28,3.0,3145.26,1.0,4380.83,2.0,0.0,0.0,0.0,0.0
SYNCID0000000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16801.9,3.0,9665.119999999999,3.0,76.07,1.0,0.0,0.0,879.36,1.0,41.31,1.0,0.0,0.0,0.0,0.0
SYNCID0000000036,0.0,0.0,0.0,0.0,3073.09,2.0,7825.450000000001,44.0,0.0,0.0,0.0,0.0,289738.06,177.0,835464.52,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52077.05,16.0,43633.09,16.0,1682.3300000000002,2.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000038,0.0,0.0,104.55,1.0,71.46,1.0,31861.179999999997,87.0,26348.95,1.0,0.0,0.0,10910.029999999999,2.0,18047.48,18.0,32428.739999999998,24.0,24044.47,17.0,67268.48,1.0,0.0,0.0
SYNCID0000000039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4363.0,9.0,119658.4,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000040,0.0,0.0,0.0,0.0,0.0,0.0,5892.97,28.0,129798.56999999999,53.0,276212.42,84.0,0.0,0.0,2922.56,1.0,16117.59,19.0,23454.71,22.0,0.0,0.0,0.0,0.0
SYNCID0000000041,0.0,0.0,0.0,0.0,345.37,1.0,12723.05,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3571.7,4.0,4272.58,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,657335.3699999999,178.0,451059.56,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000044,0.0,0.0,0.0,0.0,0.0,0.0,16.36,1.0,0.0,0.0,414.76,1.0,49625.46000000001,3.0,18634.55,3.0,539.07,1.0,6479.240000000001,4.0,0.0,0.0,0.0,0.0
SYNCID0000000045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.16,1.0,7021.92,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNCID0000000046,19040.069999999996,9.0,3365.88,20.0,42.1,1.0,4916.36,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54740.80999999999,92.0,56156.119999999995,46.0,0.0,0.0,0.0,0.0
SYNCID0000000047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,936955.0899999999,213.0,1168815.86,163.0,5635.6900000000005,2.0,5503.6,3.0,0.0,0.0,787.7499999999999,4.0,0.0,0.0,0.0,0.0
