customer_id,abm_high_value_count,emt_high_value_count,card_high_value_count,wire_high_value_count,eft_high_value_count,cheque_high_value_count
SYNCID0000000279,2.0,0.0,12.0,0.0,0.0,0.0
SYNCID0000000313,2.0,4.0,6.0,0.0,0.0,4.0
SYNCID0000000447,2.0,0.0,2.0,0.0,0.0,0.0
SYNCID0000000494,2.0,0.0,6.0,0.0,0.0,4.0
SYNCID0000000704,2.0,0.0,14.0,0.0,8.0,0.0
SYNCID0000001901,2.0,0.0,2.0,0.0,0.0,0.0
SYNCID0000003203,2.0,0.0,12.0,0.0,0.0,4.0
SYNCID0000003326,2.0,0.0,16.0,0.0,0.0,0.0
SYNCID0000003571,2.0,0.0,18.0,0.0,0.0,6.0
SYNCID0000003817,2.0,6.0,6.0,0.0,6.0,0.0
SYNCID0000004801,2.0,0.0,8.0,0.0,0.0,0.0
SYNCID0000004953,2.0,0.0,0.0,0.0,0.0,4.0
SYNCID0000006530,2.0,0.0,18.0,0.0,0.0,4.0
SYNCID0000006944,2.0,0.0,2.0,0.0,0.0,2.0
SYNCID0000006978,2.0,0.0,14.0,0.0,0.0,0.0
SYNCID0000007014,2.0,0.0,22.0,0.0,0.0,2.0
SYNCID0000007056,2.0,2.0,4.0,0.0,4.0,0.0
SYNCID0000007611,2.0,6.0,16.0,0.0,10.0,4.0
SYNCID0000007673,2.0,6.0,10.0,0.0,0.0,0.0
SYNCID0000008075,2.0,0.0,6.0,0.0,2.0,6.0
SYNCID0000008143,2.0,4.0,4.0,0.0,2.0,0.0
SYNCID0000009768,2.0,4.0,2.0,0.0,8.0,4.0
SYNCID0000010055,2.0,4.0,14.0,0.0,4.0,0.0
SYNCID0000010575,2.0,2.0,20.0,0.0,8.0,0.0
SYNCID0000011022,2.0,0.0,10.0,0.0,0.0,0.0
SYNCID0000014081,2.0,0.0,8.0,0.0,0.0,2.0
SYNCID0000014266,2.0,2.0,2.0,0.0,0.0,0.0
SYNCID0000014396,2.0,0.0,14.0,0.0,6.0,0.0
SYNCID0000015035,2.0,0.0,2.0,0.0,0.0,2.0
SYNCID0000015129,2.0,0.0,12.0,0.0,0.0,10.0
SYNCID0000015259,2.0,0.0,6.0,0.0,0.0,4.0
SYNCID0000016411,2.0,0.0,8.0,0.0,0.0,0.0
SYNCID0000016551,2.0,0.0,16.0,0.0,0.0,2.0
SYNCID0000016755,2.0,0.0,4.0,0.0,0.0,6.0
SYNCID0000017102,2.0,0.0,6.0,0.0,0.0,0.0
SYNCID0000017172,2.0,0.0,8.0,0.0,0.0,0.0
SYNCID0000000060,2.0,2.0,10.0,0.0,12.0,6.0
SYNCID0000000063,2.0,0.0,2.0,0.0,2.0,2.0
SYNCID0000000071,2.0,8.0,14.0,0.0,10.0,4.0
SYNCID0000000233,2.0,4.0,12.0,0.0,10.0,2.0
SYNCID0000000241,2.0,0.0,6.0,0.0,0.0,2.0
SYNCID0000000270,2.0,2.0,12.0,0.0,0.0,2.0
SYNCID0000000310,2.0,4.0,6.0,0.0,6.0,4.0
SYNCID0000000367,2.0,0.0,18.0,0.0,6.0,6.0
SYNCID0000000504,2.0,2.0,8.0,0.0,2.0,6.0
SYNCID0000000562,2.0,2.0,2.0,0.0,14.0,0.0
SYNCID0000000654,2.0,0.0,4.0,0.0,8.0,2.0
SYNCID0000000665,2.0,4.0,4.0,0.0,4.0,12.0
SYNCID0000000681,2.0,8.0,4.0,0.0,6.0,4.0
SYNCID0000000769,2.0,6.0,14.0,0.0,0.0,14.0
SYNCID0000016430,2.0,0.0,14.0,0.0,0.0,8.0
SYNCID0000016384,2.0,0.0,14.0,0.0,2.0,2.0
SYNCID0000016296,2.0,0.0,16.0,0.0,0.0,4.0
SYNCID0000016253,2.0,8.0,12.0,0.0,0.0,6.0
SYNCID0000016167,2.0,0.0,8.0,0.0,0.0,0.0
SYNCID0000016119,2.0,0.0,16.0,0.0,2.0,2.0
SYNCID0000016081,2.0,2.0,8.0,0.0,0.0,8.0
SYNCID0000015995,2.0,6.0,2.0,0.0,0.0,0.0
SYNCID0000015845,2.0,0.0,2.0,0.0,0.0,8.0
SYNCID0000015834,2.0,0.0,10.0,0.0,0.0,0.0
SYNCID0000015826,2.0,0.0,12.0,0.0,0.0,0.0
SYNCID0000015784,2.0,2.0,12.0,0.0,4.0,6.0
SYNCID0000015780,2.0,6.0,14.0,0.0,8.0,0.0
SYNCID0000015761,2.0,8.0,14.0,0.0,0.0,0.0
SYNCID0000015728,2.0,0.0,8.0,0.0,0.0,0.0
SYNCID0000015601,2.0,4.0,8.0,0.0,0.0,0.0
SYNCID0000002794,2.0,10.0,10.0,0.0,10.0,2.0
SYNCID0000002669,2.0,0.0,4.0,0.0,0.0,0.0
SYNCID0000002537,2.0,0.0,8.0,0.0,8.0,6.0
SYNCID0000002208,2.0,2.0,4.0,0.0,4.0,10.0
SYNCID0000002096,2.0,0.0,12.0,0.0,6.0,6.0
SYNCID0000002061,2.0,0.0,10.0,0.0,4.0,2.0
SYNCID0000001951,2.0,2.0,16.0,0.0,2.0,8.0
SYNCID0000001856,2.0,0.0,0.0,0.0,12.0,6.0
SYNCID0000001846,2.0,4.0,14.0,0.0,0.0,4.0
SYNCID0000001807,2.0,0.0,2.0,0.0,10.0,8.0
SYNCID0000001791,2.0,4.0,18.0,0.0,0.0,4.0
SYNCID0000001757,2.0,2.0,8.0,0.0,4.0,6.0
SYNCID0000001721,2.0,4.0,12.0,0.0,4.0,6.0
SYNCID0000001684,2.0,4.0,14.0,0.0,0.0,4.0
SYNCID0000001644,2.0,6.0,18.0,0.0,8.0,2.0
SYNCID0000001592,2.0,6.0,10.0,0.0,6.0,10.0
SYNCID0000003410,2.0,6.0,2.0,0.0,8.0,2.0
SYNCID0000003325,2.0,0.0,2.0,0.0,10.0,8.0
SYNCID0000003313,2.0,0.0,14.0,0.0,12.0,2.0
SYNCID0000003277,2.0,0.0,6.0,0.0,14.0,4.0
SYNCID0000003258,2.0,0.0,18.0,0.0,0.0,0.0
SYNCID0000003249,2.0,2.0,18.0,0.0,6.0,4.0
SYNCID0000003208,2.0,6.0,10.0,0.0,8.0,2.0
SYNCID0000003127,2.0,2.0,14.0,0.0,0.0,4.0
SYNCID0000003021,2.0,4.0,20.0,0.0,0.0,2.0
SYNCID0000002993,2.0,0.0,18.0,0.0,0.0,0.0
SYNCID0000002969,2.0,2.0,14.0,0.0,0.0,0.0
SYNCID0000002951,2.0,2.0,16.0,0.0,6.0,8.0
SYNCID0000002899,2.0,8.0,2.0,0.0,2.0,6.0
SYNCID0000002849,2.0,4.0,14.0,0.0,4.0,8.0
SYNCID0000002839,2.0,4.0,10.0,0.0,0.0,0.0
SYNCID0000002817,2.0,0.0,12.0,0.0,4.0,2.0
SYNCID0000004257,2.0,8.0,2.0,0.0,10.0,4.0
SYNCID0000004201,2.0,2.0,8.0,0.0,0.0,4.0
SYNCID0000004198,2.0,2.0,16.0,0.0,0.0,10.0
SYNCID0000004023,2.0,8.0,18.0,0.0,0.0,6.0
SYNCID0000004008,2.0,0.0,14.0,0.0,2.0,10.0
SYNCID0000004007,2.0,4.0,16.0,0.0,4.0,6.0
SYNCID0000003895,2.0,2.0,4.0,0.0,0.0,2.0
SYNCID0000003872,2.0,0.0,20.0,0.0,0.0,6.0
SYNCID0000003869,2.0,4.0,12.0,0.0,4.0,2.0
SYNCID0000003747,2.0,0.0,10.0,0.0,0.0,0.0
SYNCID0000003732,2.0,0.0,2.0,0.0,4.0,8.0
SYNCID0000003681,2.0,0.0,2.0,0.0,6.0,8.0
SYNCID0000003664,2.0,6.0,22.0,0.0,4.0,0.0
SYNCID0000003568,2.0,0.0,2.0,0.0,6.0,0.0
SYNCID0000003504,2.0,0.0,10.0,0.0,10.0,6.0
SYNCID0000003444,2.0,4.0,8.0,0.0,10.0,0.0
SYNCID0000004897,2.0,6.0,16.0,0.0,6.0,2.0
SYNCID0000004869,2.0,0.0,12.0,0.0,4.0,16.0
SYNCID0000004608,2.0,4.0,18.0,0.0,0.0,6.0
SYNCID0000004606,2.0,0.0,8.0,0.0,4.0,6.0
SYNCID0000004593,2.0,0.0,16.0,0.0,0.0,0.0
SYNCID0000004590,2.0,2.0,2.0,0.0,2.0,0.0
SYNCID0000004582,2.0,4.0,18.0,0.0,4.0,4.0
SYNCID0000004571,2.0,6.0,8.0,0.0,6.0,8.0
SYNCID0000004492,2.0,0.0,16.0,0.0,2.0,12.0
SYNCID0000004484,2.0,2.0,6.0,0.0,4.0,4.0
SYNCID0000004363,2.0,6.0,6.0,0.0,6.0,6.0
SYNCID0000004342,2.0,4.0,10.0,0.0,8.0,6.0
SYNCID0000004340,2.0,6.0,2.0,0.0,12.0,2.0
SYNCID0000004328,2.0,8.0,2.0,0.0,4.0,0.0
SYNCID0000004292,2.0,0.0,8.0,0.0,0.0,2.0
SYNCID0000004279,2.0,0.0,10.0,0.0,6.0,12.0
SYNCID0000005868,2.0,0.0,10.0,0.0,2.0,0.0
SYNCID0000005853,2.0,0.0,14.0,0.0,4.0,2.0
SYNCID0000005839,2.0,2.0,14.0,0.0,4.0,4.0
SYNCID0000005807,2.0,2.0,4.0,0.0,4.0,4.0
SYNCID0000005702,2.0,2.0,20.0,0.0,0.0,10.0
SYNCID0000005680,2.0,0.0,12.0,0.0,0.0,4.0
SYNCID0000005647,2.0,6.0,8.0,0.0,6.0,2.0
SYNCID0000005629,2.0,4.0,0.0,0.0,4.0,6.0
SYNCID0000005593,2.0,0.0,10.0,0.0,0.0,6.0
SYNCID0000005325,2.0,0.0,2.0,0.0,2.0,2.0
SYNCID0000005258,2.0,6.0,6.0,0.0,0.0,4.0
SYNCID0000005197,2.0,2.0,10.0,0.0,6.0,2.0
SYNCID0000005196,2.0,6.0,2.0,0.0,6.0,8.0
SYNCID0000005149,2.0,2.0,18.0,0.0,10.0,12.0
