customer_id,unique_cities
SYNCID0000000001,2
SYNCID0000000004,12
SYNCID0000000007,6
SYNCID0000000009,9
SYNCID0000000011,3
SYNCID0000000012,16
SYNCID0000000013,57
SYNCID0000000014,20
SYNCID0000000018,12
SYNCID0000000019,12
SYNCID0000000022,16
SYNCID0000000023,19
SYNCID0000000025,13
SYNCID0000000026,32
SYNCID0000000027,2
SYNCID0000000029,12
SYNCID0000000031,0
SYNCID0000000032,41
SYNCID0000000033,34
SYNCID0000000034,6
SYNCID0000000036,18
SYNCID0000000038,36
SYNCID0000000040,14
SYNCID0000000041,22
SYNCID0000000044,1
SYNCID0000000046,15
SYNCID0000000051,7
SYNCID0000000052,8
SYNCID0000000053,13
SYNCID0000000054,0
SYNCID0000000056,17
SYNCID0000000057,24
SYNCID0000000058,35
SYNCID0000000059,0
SYNCID0000000060,57
SYNCID0000000061,0
SYNCID0000000062,13
SYNCID0000000063,1
SYNCID0000000064,22
SYNCID0000000065,32
SYNCID0000000066,47
SYNCID0000000067,5
SYNCID0000000068,24
SYNCID0000000071,22
SYNCID0000000072,3
SYNCID0000000075,6
SYNCID0000000076,1
SYNCID0000000077,25
SYNCID0000000078,1
SYNCID0000000083,1
SYNCID0000000084,27
SYNCID0000000085,4
SYNCID0000000086,6
SYNCID0000000087,13
SYNCID0000000088,1
SYNCID0000000089,15
SYNCID0000000090,51
SYNCID0000000091,0
SYNCID0000000093,2
SYNCID0000000094,17
SYNCID0000000095,9
SYNCID0000000099,1
SYNCID0000000100,15
SYNCID0000000105,1
SYNCID0000000106,5
SYNCID0000000107,9
SYNCID0000000110,11
SYNCID0000000114,27
SYNCID0000000115,1
SYNCID0000000116,2
SYNCID0000000117,61
SYNCID0000000118,2
SYNCID0000000122,3
SYNCID0000000124,1
SYNCID0000000125,1
SYNCID0000000126,12
SYNCID0000000127,3
SYNCID0000000129,34
SYNCID0000000131,16
SYNCID0000000132,11
SYNCID0000000135,2
SYNCID0000000140,10
SYNCID0000000142,66
SYNCID0000000143,10
SYNCID0000000144,5
SYNCID0000000148,1
SYNCID0000000149,11
SYNCID0000000150,5
SYNCID0000000151,1
SYNCID0000000159,12
SYNCID0000000162,72
SYNCID0000000163,15
SYNCID0000000165,35
SYNCID0000000166,19
SYNCID0000000167,39
SYNCID0000000169,2
SYNCID0000000170,7
SYNCID0000000173,8
SYNCID0000000177,4
SYNCID0000000181,2
SYNCID0000000182,0
SYNCID0000000183,4
SYNCID0000000184,39
SYNCID0000000187,1
SYNCID0000000188,42
SYNCID0000000191,19
SYNCID0000000192,39
SYNCID0000000197,13
SYNCID0000000198,8
SYNCID0000000199,29
SYNCID0000000201,1
SYNCID0000000202,35
SYNCID0000000204,12
SYNCID0000000207,11
SYNCID0000000208,47
SYNCID0000000212,13
SYNCID0000000213,15
SYNCID0000000216,3
SYNCID0000000217,21
SYNCID0000000219,4
SYNCID0000000220,16
SYNCID0000000221,11
SYNCID0000000222,0
SYNCID0000000224,9
SYNCID0000000231,28
SYNCID0000000233,46
SYNCID0000000235,1
SYNCID0000000237,1
SYNCID0000000241,6
SYNCID0000000242,1
SYNCID0000000243,6
SYNCID0000000244,5
SYNCID0000000245,14
SYNCID0000000248,11
SYNCID0000000250,14
SYNCID0000000254,31
SYNCID0000000256,12
SYNCID0000000258,41
SYNCID0000000260,35
SYNCID0000000261,2
SYNCID0000000262,3
SYNCID0000000264,6
SYNCID0000000265,2
SYNCID0000000266,10
SYNCID0000000267,1
SYNCID0000000268,27
SYNCID0000000269,24
SYNCID0000000270,49
SYNCID0000000271,2
SYNCID0000000272,33
SYNCID0000000273,19
SYNCID0000000274,13
SYNCID0000000275,0
SYNCID0000000276,18
SYNCID0000000277,1
SYNCID0000000278,68
SYNCID0000000279,20
SYNCID0000000282,6
SYNCID0000000284,0
SYNCID0000000285,18
SYNCID0000000288,2
SYNCID0000000290,4
SYNCID0000000291,3
SYNCID0000000292,19
SYNCID0000000294,46
SYNCID0000000299,8
SYNCID0000000300,20
SYNCID0000000301,4
SYNCID0000000302,13
SYNCID0000000303,29
SYNCID0000000306,6
SYNCID0000000309,0
SYNCID0000000310,4
SYNCID0000000312,5
SYNCID0000000313,2
SYNCID0000000314,6
SYNCID0000000316,1
SYNCID0000000318,3
SYNCID0000000324,1
SYNCID0000000326,13
SYNCID0000000329,0
SYNCID0000000332,6
SYNCID0000000334,56
SYNCID0000000337,27
SYNCID0000000338,14
SYNCID0000000339,5
SYNCID0000000340,9
SYNCID0000000343,42
SYNCID0000000344,15
SYNCID0000000347,27
SYNCID0000000348,1
SYNCID0000000349,2
SYNCID0000000350,15
SYNCID0000000351,9
SYNCID0000000352,20
SYNCID0000000353,62
SYNCID0000000354,12
SYNCID0000000357,6
SYNCID0000000358,17
SYNCID0000000359,4
SYNCID0000000360,0
SYNCID0000000361,2
SYNCID0000000363,17
SYNCID0000000365,14
SYNCID0000000366,30
SYNCID0000000367,51
SYNCID0000000369,15
SYNCID0000000370,10
SYNCID0000000373,0
SYNCID0000000376,1
SYNCID0000000378,4
SYNCID0000000380,12
SYNCID0000000381,43
SYNCID0000000382,11
SYNCID0000000383,1
SYNCID0000000385,29
SYNCID0000000388,13
SYNCID0000000389,23
SYNCID0000000390,6
SYNCID0000000391,18
SYNCID0000000394,28
SYNCID0000000395,5
SYNCID0000000397,32
SYNCID0000000398,2
SYNCID0000000403,34
SYNCID0000000404,6
SYNCID0000000406,23
SYNCID0000000407,9
SYNCID0000000411,6
SYNCID0000000413,2
SYNCID0000000414,12
SYNCID0000000417,28
SYNCID0000000418,13
SYNCID0000000419,13
SYNCID0000000423,37
SYNCID0000000424,18
SYNCID0000000426,38
SYNCID0000000427,49
SYNCID0000000428,14
SYNCID0000000429,24
SYNCID0000000430,7
SYNCID0000000431,12
SYNCID0000000432,2
SYNCID0000000434,40
SYNCID0000000435,4
SYNCID0000000436,2
SYNCID0000000437,8
SYNCID0000000438,0
SYNCID0000000439,4
SYNCID0000000445,22
SYNCID0000000447,1
SYNCID0000000448,13
SYNCID0000000449,1
SYNCID0000000450,13
SYNCID0000000452,71
SYNCID0000000453,6
SYNCID0000000454,4
SYNCID0000000456,7
SYNCID0000000459,20
SYNCID0000000460,22
SYNCID0000000463,10
SYNCID0000000464,6
SYNCID0000000466,12
SYNCID0000000467,2
SYNCID0000000468,1
SYNCID0000000469,19
SYNCID0000000470,46
SYNCID0000000471,10
SYNCID0000000472,61
SYNCID0000000474,38
SYNCID0000000478,9
SYNCID0000000479,2
SYNCID0000000480,49
SYNCID0000000481,15
SYNCID0000000482,21
SYNCID0000000483,10
SYNCID0000000484,26
SYNCID0000000485,0
SYNCID0000000486,7
SYNCID0000000487,4
SYNCID0000000488,5
SYNCID0000000489,4
SYNCID0000000492,1
SYNCID0000000494,1
SYNCID0000000495,6
SYNCID0000000496,7
SYNCID0000000498,22
SYNCID0000000503,42
SYNCID0000000504,2
SYNCID0000000505,32
SYNCID0000000506,25
SYNCID0000000508,1
SYNCID0000000509,6
SYNCID0000000510,7
SYNCID0000000513,30
SYNCID0000000515,21
